fichier;p;temps;OPT
ga250a-3.txt;1;1.742000103;1978
ga250a-3.txt;2;12.05099988;1797
ga250a-3.txt;3;42.8690002;1E+12
ga250a-3.txt;4;37.99000001;1E+12
ga250a-3.txt;5;50.12899995;1E+12
ga250a-3.txt;6;31.53200006;1E+12
ga250a-3.txt;7;31.44199991;1E+12
ga250a-3.txt;8;31.39700007;1E+12
ga250a-3.txt;9;31.16199994;1E+12
ga250a-3.txt;10;31.30299997;1E+12
ga250a-4.txt;1;2.526000023;1978
ga250a-4.txt;2;12.16100001;1793
ga250a-4.txt;3;36.75;1E+12
ga250a-4.txt;4;31.87700009;1E+12
ga250a-4.txt;5;31.83700013;1E+12
ga250a-4.txt;6;31.55200005;1E+12
ga250a-4.txt;7;31.35299993;1E+12
ga250a-4.txt;8;31.36400008;1E+12
ga250a-4.txt;9;31.39400005;1E+12
ga250a-4.txt;10;31.28299999;1E+12
ga250a-5.txt;1;2.426000118;1979
ga250a-5.txt;2;12.5539999;1810
ga250a-5.txt;3;39.75999999;1E+12
ga250a-5.txt;4;33.79299998;1E+12
ga250a-5.txt;5;51.20900011;1E+12
ga250a-5.txt;6;32.81599998;1E+12
ga250a-5.txt;7;31.90100002;1E+12
ga250a-5.txt;8;32.9749999;1E+12
ga250a-5.txt;9;32.39400005;1E+12
ga250a-5.txt;10;32.16199994;1E+12
gs250a-3.txt;1;4.638000011;1969
gs250a-3.txt;2;26.82799983;1802
gs250a-3.txt;3;61.18099999;1E+12
gs250a-3.txt;4;33.84800005;1E+12
gs250a-3.txt;5;32.77600002;1E+12
gs250a-3.txt;6;32.46300006;1E+12
gs250a-3.txt;7;32.56699991;1E+12
gs250a-3.txt;8;32.4059999;1E+12
gs250a-3.txt;9;32.25999999;1E+12
gs250a-3.txt;10;32.26300001;1E+12
gs250a-5.txt;1;4.812999964;1976
gs250a-5.txt;2;28.77699995;1790
gs250a-5.txt;3;50.25999999;1E+12
gs250a-5.txt;4;31.43199992;1E+12
gs250a-5.txt;5;33.34899998;1E+12
gs250a-5.txt;6;33.07000017;1E+12
gs250a-5.txt;7;32.88800001;1E+12
gs250a-5.txt;8;32.4599998;1E+12
gs250a-5.txt;9;32.35600019;1E+12
gs250a-5.txt;10;32.24599981;1E+12
instA1.txt;1;0.865999937;30034
instA1.txt;2;0.65899992;30034
instA1.txt;3;0.725000143;30034
instA1.txt;4;0.657000065;30034
instA1.txt;5;0.630999804;30034
instA1.txt;6;0.646000147;30034
instA1.txt;7;0.72300005;30034
instA1.txt;8;0.671999931;30034
instA1.txt;9;12.02399993;30034
instA1.txt;10;11.55999994;30034
instA2.txt;1;0.767000198;30031
instA2.txt;2;0.681999922;30031
instA2.txt;3;0.697000027;30031
instA2.txt;4;0.694000006;30031
instA2.txt;5;0.678999901;30031
instA2.txt;6;0.663000107;30031
instA2.txt;7;0.665999889;30031
instA2.txt;8;0.721999884;30031
instA2.txt;9;0.687000036;30031
instA2.txt;10;34.71000004;1E+12
instA3.txt;1;0.664000034;30035
instA3.txt;2;0.684999943;30035
instA3.txt;3;0.69900012;30035
instA3.txt;4;0.72300005;30035
instA3.txt;5;0.674999952;30035
instA3.txt;6;0.64199996;30035
instA3.txt;7;0.72300005;30035
instA3.txt;8;0.690000057;30035
instA3.txt;9;11.20899987;30035
instA3.txt;10;11.22399998;30035
instC1.txt;1;0.726999998;30034
instC1.txt;2;0.718000174;30034
instC1.txt;3;0.642999887;30034
instC1.txt;4;0.612999916;30034
instC1.txt;5;0.647000074;30034
instC1.txt;6;0.650000095;30034
instC1.txt;7;0.65899992;30034
instC1.txt;8;17.25;4
instC2.txt;1;0.726999998;30031
instC2.txt;2;0.697000027;30031
instC2.txt;3;0.722000122;30031
instC2.txt;4;0.723999977;30031
instC2.txt;5;0.69299984;30031
instC2.txt;6;0.669000149;30031
instC2.txt;7;0.743999958;30031
instC2.txt;8;0.657999992;30031
instC2.txt;9;0.640000105;30031
instC2.txt;10;0.657999992;30031
instC3.txt;1;0.625;30031
instC3.txt;2;0.707999945;30031
instC3.txt;3;0.673000097;30031
instC3.txt;4;0.648000002;30031
instC3.txt;5;0.632999897;30031
instC3.txt;6;0.657000065;30031
instC3.txt;7;0.611999989;30031
instC3.txt;8;0.627000093;30031
instC3.txt;9;0.649999857;30031
instC3.txt;10;34.1400001;1E+12
instRand_100_100_1.txt;1;0.374000072;28
instRand_100_100_1.txt;2;1.016000032;22
instRand_100_100_1.txt;3;1.539000034;16
instRand_100_100_1.txt;4;2.238999844;11
instRand_100_100_1.txt;5;2.562999964;9
instRand_100_100_1.txt;6;2.127000093;7
instRand_100_100_1.txt;7;1.411000013;6
instRand_100_100_1.txt;8;0.713999987;5
instRand_100_100_1.txt;9;1.017999887;4
instRand_100_100_1.txt;10;1.03000021;4
instRand_500_500.txt;1;19.37100005;30
instRand_500_500.txt;2;45.08500004;1E+12
instRand_500_500.txt;3;43.44700003;1E+12
instRand_500_500.txt;4;41.21899986;1E+12
instRand_500_500.txt;5;40.20700002;1E+12
instRand_500_500.txt;6;37.19400001;1E+12
instRand_500_500.txt;7;37.25800014;1E+12
instRand_500_500.txt;8;36.69799995;1E+12
instRand_500_500.txt;9;36.23599982;1E+12
instRand_500_500.txt;10;36.20100021;1E+12
instRand_50_50_1.txt;1;0.145999908;27
instRand_50_50_1.txt;2;0.31400013;19
instRand_50_50_1.txt;3;0.302999973;14
instRand_50_50_1.txt;4;0.40199995;11
instRand_50_50_1.txt;5;0.257999897;7
instRand_50_50_1.txt;6;0.211000204;6
instRand_50_50_1.txt;7;0.165999889;5
instRand_50_50_1.txt;8;0.148000002;5
instRand_50_50_1.txt;9;0.104000092;4
instTest.txt;1;0.064999819;130
instTest.txt;2;0.048000097;100
ga250a-3.txt;20;30.77600002;1E+12
ga250a-3.txt;50;5.214999914;1023
ga250a-4.txt;20;31.77699995;1E+12
ga250a-5.txt;20;31.87899995;1E+12
ga250a-5.txt;50;14.48200011;1024
gs250a-3.txt;20;31.9059999;1E+12
gs250a-3.txt;50;16.10700011;1023
gs250a-5.txt;20;31.79100013;1E+12
gs250a-5.txt;50;31.4059999;1E+12
instRand_500_500.txt;20;34.88800001;1E+12
