fichier,p,temps,LB*,UB*,OPT
lu980.tsp,5,4.6318287,193,193,missing
lu980.tsp,10,1.423182,121,121,missing
lu980.tsp,20,1.3238162,82,100,missing
lu980.tsp,50,1.0786873,49,58,missing
mu1979.tsp,5,12.6347144,1738,1738,missing
mu1979.tsp,10,9.5665229,1161,1206,missing
mu1979.tsp,20,8.2854186,751,953,missing
mu1979.tsp,50,5.3559038,299,299,missing
qa194.tsp,5,0.1463102,179,179,179
qa194.tsp,10,0.1568432,170,170,170
qa194.tsp,20,0.1409969,125,125,125
qa194.tsp,50,0.1224131,69,69,69
rw1621.tsp,5,4.7199499,414,414,missing
rw1621.tsp,10,4.1195327,285,319,missing
rw1621.tsp,20,3.1499086,184,210,missing
rw1621.tsp,50,2.5880127,110,120,missing
uy734.tsp,5,2.4590344,1318,1452,missing
uy734.tsp,10,2.0006283,877,1167,missing
uy734.tsp,20,0.9839717,345,345,missing
uy734.tsp,50,0.9468311,337,337,missing
wi29.tsp,5,0.0334167,1670,1670,1670
wi29.tsp,10,0.0356606,1108,1108,1108
wi29.tsp,20,0.0323359,559,559,559
wi29.tsp,50,0.017534,1,1,1
zi929.tsp,5,3.4040295,1802,1935,missing
zi929.tsp,10,2.4638559,1228,1379,missing
zi929.tsp,20,1.3968598,515,515,missing
zi929.tsp,50,1.2071084,406,406,missing
nu3496.tsp,5,61.8430755,timeout,timeout,missing
nu3496.tsp,10,63.1971668,timeout,timeout,missing
nu3496.tsp,20,77.2034058,timeout,timeout,missing
nu3496.tsp,50,75.9372318,timeout,timeout,missing
ca4663.tsp,5,72.1272116,timeout,timeout,missing
ca4663.tsp,10,71.5378737,timeout,timeout,missing
ca4663.tsp,20,78.1936153,timeout,timeout,missing
ca4663.tsp,50,72.9416946,timeout,timeout,missing
